"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2020","8,906.1","8,732.8","8,966.3","8,665.4","0.12K","1.98%"
"05/24/2020","8,733.4","9,179.8","9,292.0","8,717.8","0.15K","-4.86%"
"05/23/2020","9,179.8","9,158.9","9,300.0","9,100.0","0.10K","0.23%"
"05/22/2020","9,158.9","9,055.1","9,247.9","8,952.0","0.13K","1.15%"
"05/21/2020","9,055.1","9,514.5","9,561.0","8,823.1","0.15K","-4.83%"
"05/20/2020","9,514.5","9,777.1","9,821.8","9,350.2","0.13K","-2.69%"
"05/19/2020","9,777.1","9,732.8","9,880.4","9,500.0","0.11K","0.46%"
"05/18/2020","9,732.8","9,669.9","9,933.1","9,493.0","0.09K","0.65%"
"05/17/2020","9,669.9","9,386.7","9,869.0","9,341.9","0.09K","3.02%"
"05/16/2020","9,386.7","9,303.0","9,582.6","9,213.9","0.06K","0.90%"
"05/15/2020","9,303.0","9,784.1","9,829.8","9,166.7","0.11K","-4.92%"
"05/14/2020","9,784.1","9,303.4","9,917.9","9,242.1","0.12K","5.17%"
"05/13/2020","9,303.4","8,804.0","9,400.6","8,798.4","0.09K","5.67%"
"05/12/2020","8,804.0","8,572.1","8,962.7","8,549.9","0.07K","2.70%"
"05/11/2020","8,572.6","8,743.2","9,150.0","8,217.0","0.11K","-1.95%"
"05/10/2020","8,743.2","9,549.2","9,569.3","8,100.0","0.15K","-8.44%"
"05/09/2020","9,549.2","9,812.0","9,899.0","9,532.2","0.07K","-2.71%"
"05/08/2020","9,815.4","9,971.3","10,020.0","9,729.2","0.08K","-1.56%"
"05/07/2020","9,971.3","9,145.6","10,064.3","9,047.5","0.14K","9.03%"
"05/06/2020","9,145.6","9,024.0","9,380.0","8,918.0","0.11K","1.35%"
"05/05/2020","9,024.0","8,867.8","9,100.0","8,749.6","0.07K","1.76%"
"05/04/2020","8,867.8","8,896.4","8,946.8","8,522.4","0.06K","-0.32%"
"05/03/2020","8,896.4","8,971.2","9,175.0","8,723.3","0.07K","-0.83%"
"05/02/2020","8,971.2","8,809.9","8,997.0","8,765.0","0.05K","1.83%"
"05/01/2020","8,809.9","8,624.8","9,046.2","8,624.8","0.06K","2.04%"
"04/30/2020","8,633.6","8,746.9","9,455.4","8,415.3","0.09K","-1.29%"
"04/29/2020","8,746.9","7,745.3","8,932.8","7,720.6","0.08K","12.93%"
"04/28/2020","7,745.3","7,772.5","7,772.9","7,669.2","0.04K","-0.35%"
"04/27/2020","7,772.5","7,685.0","7,773.8","7,619.6","0.04K","1.14%"
"04/26/2020","7,685.0","7,533.3","7,691.0","7,500.0","0.04K","2.01%"
"04/25/2020","7,533.3","7,493.4","7,697.0","7,449.0","0.04K","0.53%"
"04/24/2020","7,493.4","7,471.3","7,596.0","7,362.0","0.08K","0.30%"
"04/23/2020","7,471.3","7,113.7","7,596.0","7,026.4","0.13K","5.03%"
"04/22/2020","7,113.7","6,836.3","7,143.7","6,820.7","0.04K","4.06%"
"04/21/2020","6,836.3","6,818.6","6,928.8","6,772.8","0.04K","0.26%"
"04/20/2020","6,818.6","7,110.1","7,204.7","6,770.7","0.05K","-4.10%"
"04/19/2020","7,110.1","7,236.1","7,268.3","7,054.8","0.05K","-1.74%"
"04/18/2020","7,236.1","7,033.9","7,275.1","7,030.0","0.05K","2.87%"
"04/17/2020","7,033.9","7,091.5","7,150.0","7,011.1","0.05K","-0.81%"
"04/16/2020","7,091.5","6,629.4","7,174.7","6,500.0","0.04K","6.97%"
"04/15/2020","6,629.4","6,854.4","6,931.5","6,614.9","0.04K","-3.28%"
"04/14/2020","6,854.4","6,855.3","6,967.7","6,775.6","0.03K","-0.01%"
"04/13/2020","6,855.3","6,900.0","6,900.0","6,604.1","0.04K","-0.98%"
"04/12/2020","6,922.8","6,850.0","7,161.0","6,792.6","0.03K","1.06%"
"04/11/2020","6,850.0","6,823.8","6,933.0","6,750.0","0.02K","0.38%"
"04/10/2020","6,823.8","7,282.3","7,289.0","6,757.5","0.03K","-6.30%"
"04/09/2020","7,282.3","7,349.4","7,369.8","7,133.7","0.03K","-0.91%"
"04/08/2020","7,349.4","7,210.8","7,406.4","7,152.3","0.04K","1.92%"
"04/07/2020","7,210.8","7,331.6","7,450.0","7,121.7","0.06K","-1.65%"
"04/06/2020","7,331.6","6,781.2","7,340.3","6,774.4","0.11K","8.12%"
"04/05/2020","6,781.2","6,856.1","6,879.1","6,686.3","0.04K","-1.09%"
"04/04/2020","6,856.1","6,751.8","6,972.6","6,661.6","0.04K","1.54%"
"04/03/2020","6,751.8","6,793.3","7,038.5","6,624.9","0.06K","-0.76%"
"04/02/2020","6,803.7","6,655.5","6,877.6","6,560.0","0.04K","2.23%"
"04/01/2020","6,655.5","6,428.4","6,663.6","6,159.2","0.05K","3.53%"
"03/31/2020","6,428.4","6,398.6","6,507.6","6,338.7","0.04K","0.47%"
"03/30/2020","6,398.6","5,899.9","6,585.5","5,873.3","0.05K","8.45%"
"03/29/2020","5,899.9","6,238.8","6,274.7","5,883.6","0.04K","-5.43%"
"03/28/2020","6,238.8","6,380.0","6,380.0","6,055.5","0.04K","-2.21%"
"03/27/2020","6,380.0","6,727.0","6,850.0","6,302.5","0.06K","-5.16%"
"03/26/2020","6,727.0","6,691.7","6,770.0","6,528.1","0.05K","0.53%"
"03/25/2020","6,691.7","6,768.4","6,943.4","6,450.0","0.06K","-1.13%"
"03/24/2020","6,768.4","6,472.9","6,826.8","6,390.5","0.05K","4.57%"
"03/23/2020","6,472.9","5,886.7","6,584.4","5,712.5","0.05K","9.96%"
